home,away,home_score,away_score
Toronto FC,New England Revolution,1,2
FC Dallas,Sporting Kansas City,0,2
Houston Dynamo FC,Colorado Rapids,1,3
Real Salt Lake,Austin FC,1,0
Atlanta United FC,LAFC,1,0
Chicago Fire FC,Columbus Crew,1,0
Nashville SC,DC United,5,2
Portland Timbers,Seattle Sounders FC,2,6
LA Galaxy,Colorado Rapids,1,2
San Jose Earthquakes,Minnesota United FC,1,1
Atlanta United FC,Toronto FC,1,0
New England Revolution,DC United,3,2
FC Cincinnati,CF Montréal,0,0
Inter Miami CF,Chicago Fire FC,3,2
Philadelphia Union,New York City FC,1,0
New York Red Bulls,Columbus Crew,1,0
FC Dallas,Seattle Sounders FC,0,1
Nashville SC,Orlando City SC,1,1
Sporting Kansas City,Portland Timbers,1,1
Austin FC,Vancouver Whitecaps,1,2
Real Salt Lake,Houston Dynamo FC,2,1
LA Galaxy,San Jose Earthquakes,1,2
Minnesota United FC,Sporting Kansas City,0,0
Columbus Crew,Seattle Sounders FC,1,2
DC United,Atlanta United FC,1,2
Inter Miami CF,Toronto FC,3,1
New England Revolution,FC Cincinnati,4,1
Philadelphia Union,CF Montréal,1,1
Houston Dynamo FC,FC Dallas,2,2
Orlando City SC,Chicago Fire FC,1,0
Austin FC,Portland Timbers,3,1
Colorado Rapids,Real Salt Lake,2,1
Vancouver Whitecaps,LAFC,2,1
Columbus Crew,FC Cincinnati,3,2
CF Montréal,Toronto FC,3,1
Orlando City SC,Inter Miami CF,0,0
Atlanta United FC,Nashville SC,0,2
New York Red Bulls,Chicago Fire FC,0,1
LAFC,LA Galaxy,3,3
New York City FC,New England Revolution,2,0
DC United,Philadelphia Union,3,1
Houston Dynamo FC,Minnesota United FC,1,2
Sporting Kansas City,Colorado Rapids,1,1
Austin FC,FC Dallas,3,5
Vancouver Whitecaps,Real Salt Lake,4,1
Seattle Sounders FC,Portland Timbers,0,2
Nashville SC,New York City FC,3,1
Philadelphia Union,New England Revolution,0,1
Houston Dynamo FC,Portland Timbers,0,2
LAFC,Sporting Kansas City,4,0
Vancouver Whitecaps,Austin FC,2,1
Orlando City SC,Columbus Crew,3,2
FC Cincinnati,Inter Miami CF,0,1
Real Salt Lake,FC Dallas,3,2
San Jose Earthquakes,Colorado Rapids,0,1
Atlanta United FC,Orlando City SC,3,0
Vancouver Whitecaps,Portland Timbers,0,1
Colorado Rapids,LA Galaxy,1,1
Seattle Sounders FC,Minnesota United FC,1,0
New England Revolution,New York City FC,2,1
New York Red Bulls,DC United,1,1
CF Montréal,Nashville SC,0,1
FC Cincinnati,Toronto FC,2,0
Inter Miami CF,Columbus Crew,1,0
FC Dallas,San Jose Earthquakes,1,1
Houston Dynamo FC,Austin FC,3,0
Sporting Kansas City,Chicago Fire FC,2,0
LAFC,Real Salt Lake,3,2
Columbus Crew,New York Red Bulls,2,1
New York City FC,FC Dallas,3,3
Toronto FC,Inter Miami CF,0,1
Atlanta United FC,FC Cincinnati,4,0
DC United,Chicago Fire FC,3,0
